Q2_center	xbj_center	Content
4.275	0.3625	3.02186e+06
4.275	0.3675	2.65539e+06
4.275	0.3725	1.3134e+06
4.275	0.3775	2.26573e+06
4.275	0.3825	958795
4.275	0.3875	88293.4
4.275	0.3925	88619.5
4.275	0.3975	37502.9
4.275	0.4025	33954.5
4.275	0.4075	9504.93
4.325	0.3075	7.1066e+06
4.325	0.3125	9.7162e+06
4.325	0.3175	7.40042e+06
4.325	0.3225	1.05964e+07
4.325	0.3275	9.5536e+06
4.325	0.3325	6.22236e+06
4.325	0.3375	7.49498e+06
4.325	0.3425	8.0005e+06
4.325	0.3475	9.3446e+06
4.325	0.3525	5.25079e+06
4.325	0.3575	3.32998e+06
4.325	0.3625	5.61679e+06
4.325	0.3675	6.04212e+06
4.325	0.3725	1.26219e+06
4.325	0.3775	3.0219e+06
4.325	0.3825	673410
4.325	0.3875	1.1973e+06
4.325	0.3925	263493
4.325	0.3975	175680
4.325	0.4025	57200.5
4.325	0.4075	70297.6
4.325	0.4125	60742.8
4.375	0.3075	419114
4.375	0.3125	1.09544e+07
4.375	0.3175	7.20254e+06
4.375	0.3225	7.72292e+06
4.375	0.3275	7.16234e+06
4.375	0.3325	1.04254e+07
4.375	0.3375	8.54711e+06
4.375	0.3425	7.36937e+06
4.375	0.3475	7.89054e+06
4.375	0.3525	8.69387e+06
4.375	0.3575	8.3765e+06
4.375	0.3625	4.38501e+06
4.375	0.3675	3.80776e+06
4.375	0.3725	5.17607e+06
4.375	0.3775	2.39506e+06
4.375	0.3825	1.77472e+06
4.375	0.3875	1.67539e+06
4.375	0.3925	1.42546e+06
4.375	0.3975	1.21752e+06
4.375	0.4025	249357
4.375	0.4075	54166.2
4.375	0.4125	48421.6
4.375	0.4175	50009.5
4.375	0.4225	40602.2
4.425	0.3125	404161
4.425	0.3175	8.73673e+06
4.425	0.3225	9.80107e+06
4.425	0.3275	5.56328e+06
4.425	0.3325	1.09625e+07
4.425	0.3375	1.09567e+07
4.425	0.3425	1.02897e+07
4.425	0.3475	7.54525e+06
4.425	0.3525	5.47472e+06
4.425	0.3575	5.89126e+06
4.425	0.3625	1.01876e+07
4.425	0.3675	3.66711e+06
4.425	0.3725	4.62159e+06
4.425	0.3775	4.25862e+06
4.425	0.3825	3.08632e+06
4.425	0.3875	2.79892e+06
4.425	0.3925	2.00543e+06
4.425	0.3975	1.2398e+06
4.425	0.4025	1.55154e+06
4.425	0.4075	692597
4.425	0.4125	72882.6
4.425	0.4175	37972
4.425	0.4225	168417
4.425	0.4275	69583.1
4.425	0.4325	20253.9
4.475	0.3175	3.51819e+06
4.475	0.3225	8.37151e+06
4.475	0.3275	6.21764e+06
4.475	0.3325	1.22428e+07
4.475	0.3375	1.00106e+07
4.475	0.3425	1.05267e+07
4.475	0.3475	9.09848e+06
4.475	0.3525	8.75306e+06
4.475	0.3575	1.18195e+07
4.475	0.3625	7.3016e+06
4.475	0.3675	4.72457e+06
4.475	0.3725	6.31928e+06
4.475	0.3775	7.29826e+06
4.475	0.3825	4.41958e+06
4.475	0.3875	4.39949e+06
4.475	0.3925	4.25895e+06
4.475	0.3975	2.42752e+06
4.475	0.4025	2.27278e+06
4.475	0.4075	1.29675e+06
4.475	0.4125	1.35941e+06
4.475	0.4175	350427
4.475	0.4225	35941
4.475	0.4275	55284.7
4.475	0.4325	65842.8
4.475	0.4375	48452.1
4.475	0.4425	20408.4
4.525	0.3225	6.43337e+06
4.525	0.3275	7.28531e+06
4.525	0.3325	9.30405e+06
4.525	0.3375	7.60631e+06
4.525	0.3425	6.94982e+06
4.525	0.3475	6.75595e+06
4.525	0.3525	8.74701e+06
4.525	0.3575	6.93525e+06
4.525	0.3625	7.54697e+06
4.525	0.3675	7.39512e+06
4.525	0.3725	6.29524e+06
4.525	0.3775	7.85409e+06
4.525	0.3825	5.45955e+06
4.525	0.3875	2.76684e+06
4.525	0.3925	2.93035e+06
4.525	0.3975	2.67794e+06
4.525	0.4025	2.44071e+06
4.525	0.4075	1.41126e+06
4.525	0.4125	1.36724e+06
4.525	0.4175	895354
4.525	0.4225	286025
4.525	0.4275	221440
4.525	0.4325	90895
4.525	0.4375	81869.9
4.525	0.4425	39605.5
4.525	0.4475	50469.8
4.525	0.4525	19667.3
4.575	0.3275	6.24831e+06
4.575	0.3325	7.6772e+06
4.575	0.3375	8.41617e+06
4.575	0.3425	1.14444e+07
4.575	0.3475	8.37682e+06
4.575	0.3525	2.62061e+06
4.575	0.3575	6.46036e+06
4.575	0.3625	4.20394e+06
4.575	0.3675	7.65128e+06
4.575	0.3725	5.67608e+06
4.575	0.3775	7.85516e+06
4.575	0.3825	9.83241e+06
4.575	0.3875	3.76411e+06
4.575	0.3925	3.37863e+06
4.575	0.3975	3.19117e+06
4.575	0.4025	1.25974e+06
4.575	0.4075	3.41333e+06
4.575	0.4125	2.94273e+06
4.575	0.4175	696892
4.575	0.4225	1.10139e+06
4.575	0.4275	1.31037e+06
4.575	0.4325	685565
4.575	0.4375	129406
4.575	0.4425	73874.2
4.575	0.4475	36656.6
4.575	0.4525	28441.4
4.575	0.4575	37909.5
4.575	0.4625	17282.2
4.625	0.3275	1.76758e+06
4.625	0.3325	6.16149e+06
4.625	0.3375	1.02464e+07
4.625	0.3425	5.53686e+06
4.625	0.3475	7.39836e+06
4.625	0.3525	6.51143e+06
4.625	0.3575	6.66789e+06
4.625	0.3625	7.82251e+06
4.625	0.3675	5.54474e+06
4.625	0.3725	4.13502e+06
4.625	0.3775	7.08588e+06
4.625	0.3825	6.39899e+06
4.625	0.3875	4.49709e+06
4.625	0.3925	6.16448e+06
4.625	0.3975	5.31198e+06
4.625	0.4025	2.96311e+06
4.625	0.4075	2.18121e+06
4.625	0.4125	2.28104e+06
4.625	0.4175	2.11552e+06
4.625	0.4225	343213
4.625	0.4275	1.26239e+06
4.625	0.4325	1.34603e+06
4.625	0.4375	728080
4.625	0.4425	1.29795e+06
4.625	0.4475	49643.4
4.625	0.4525	45899.6
4.625	0.4575	17237.8
4.625	0.4625	33449.3
4.625	0.4675	66392.7
4.625	0.4725	33720.2
4.675	0.3325	3.36225e+06
4.675	0.3375	8.5011e+06
4.675	0.3425	6.59248e+06
4.675	0.3475	6.12195e+06
4.675	0.3525	8.55766e+06
4.675	0.3575	7.32709e+06
4.675	0.3625	5.78419e+06
4.675	0.3675	6.80435e+06
4.675	0.3725	8.38573e+06
4.675	0.3775	7.06364e+06
4.675	0.3825	7.75684e+06
4.675	0.3875	6.09216e+06
4.675	0.3925	4.23434e+06
4.675	0.3975	6.03053e+06
4.675	0.4025	5.84607e+06
4.675	0.4075	4.4456e+06
4.675	0.4125	2.41527e+06
4.675	0.4175	2.70992e+06
4.675	0.4225	2.71115e+06
4.675	0.4275	1.12116e+06
4.675	0.4325	1.1394e+06
4.675	0.4375	1.1252e+06
4.675	0.4425	917085
4.675	0.4475	893524
4.675	0.4525	700508
4.675	0.4575	63496.9
4.675	0.4625	63250.1
4.675	0.4675	116419
4.675	0.4725	30866.5
4.675	0.4775	46863
4.675	0.4825	79910.8
4.725	0.3375	5.88092e+06
4.725	0.3425	3.73963e+06
4.725	0.3475	6.75187e+06
4.725	0.3525	6.9783e+06
4.725	0.3575	4.40951e+06
4.725	0.3625	7.29047e+06
4.725	0.3675	5.91196e+06
4.725	0.3725	1.00531e+07
4.725	0.3775	4.81759e+06
4.725	0.3825	6.80521e+06
4.725	0.3875	7.21957e+06
4.725	0.3925	5.02364e+06
4.725	0.3975	5.60837e+06
4.725	0.4025	4.14713e+06
4.725	0.4075	4.78887e+06
4.725	0.4125	2.22003e+06
4.725	0.4175	2.08648e+06
4.725	0.4225	3.0497e+06
4.725	0.4275	3.29011e+06
4.725	0.4325	2.73553e+06
4.725	0.4375	1.30638e+06
4.725	0.4425	940371
4.725	0.4475	1.18044e+06
4.725	0.4525	817322
4.725	0.4575	989779
4.725	0.4625	383758
4.725	0.4675	16750
4.725	0.4725	88512.3
4.725	0.4775	55105.9
4.725	0.4825	89508.1
4.725	0.4875	33132.8
4.725	0.4925	48524.1
4.725	0.4975	8182.97
4.775	0.3375	939681
4.775	0.3425	8.87085e+06
4.775	0.3475	7.99636e+06
4.775	0.3525	6.6204e+06
4.775	0.3575	6.44606e+06
4.775	0.3625	8.49232e+06
4.775	0.3675	6.46337e+06
4.775	0.3725	3.47323e+06
4.775	0.3775	5.57066e+06
4.775	0.3825	5.72614e+06
4.775	0.3875	4.64713e+06
4.775	0.3925	5.20913e+06
4.775	0.3975	1.15938e+07
4.775	0.4025	5.37791e+06
4.775	0.4075	5.25132e+06
4.775	0.4125	4.95695e+06
4.775	0.4175	6.03014e+06
4.775	0.4225	3.86785e+06
4.775	0.4275	4.61288e+06
4.775	0.4325	1.85559e+06
4.775	0.4375	1.46764e+06
4.775	0.4425	1.3759e+06
4.775	0.4475	1.13676e+06
4.775	0.4525	1.32955e+06
4.775	0.4575	1.11887e+06
4.775	0.4625	592619
4.775	0.4675	1.33463e+06
4.775	0.4725	318689
4.775	0.4775	188089
4.775	0.4875	34893.3
4.775	0.4925	73133.5
4.775	0.4975	59814.5
4.775	0.5025	36130.8
4.775	0.5075	29128.7
4.825	0.3425	3.17574e+06
4.825	0.3475	5.96037e+06
4.825	0.3525	6.45788e+06
4.825	0.3575	7.12342e+06
4.825	0.3625	7.67539e+06
4.825	0.3675	6.162e+06
4.825	0.3725	6.16036e+06
4.825	0.3775	3.686e+06
4.825	0.3825	4.48056e+06
4.825	0.3875	4.62769e+06
4.825	0.3925	4.99153e+06
4.825	0.3975	5.14615e+06
4.825	0.4025	5.18282e+06
4.825	0.4075	2.7647e+06
4.825	0.4125	3.11958e+06
4.825	0.4175	4.04597e+06
4.825	0.4225	3.40364e+06
4.825	0.4275	2.64762e+06
4.825	0.4325	5.10487e+06
4.825	0.4375	1.32862e+06
4.825	0.4425	2.92046e+06
4.825	0.4475	1.32692e+06
4.825	0.4525	2.0666e+06
4.825	0.4575	1.2655e+06
4.825	0.4625	1.13877e+06
4.825	0.4675	840019
4.825	0.4725	537690
4.825	0.4775	514770
4.825	0.4825	460851
4.825	0.4875	15503.5
4.825	0.4925	12931.1
4.825	0.4975	106988
4.825	0.5025	29246.1
4.825	0.5075	20616.8
4.825	0.5125	14711.8
4.825	0.5175	29482.7
4.825	0.5225	14949.4
4.875	0.3475	5.05609e+06
4.875	0.3525	8.21206e+06
4.875	0.3575	6.96645e+06
4.875	0.3625	7.14832e+06
4.875	0.3675	3.60413e+06
4.875	0.3725	4.43561e+06
4.875	0.3775	6.76716e+06
4.875	0.3825	2.80669e+06
4.875	0.3875	8.62164e+06
4.875	0.3925	4.29782e+06
4.875	0.3975	3.44986e+06
4.875	0.4025	5.83933e+06
4.875	0.4075	6.76785e+06
4.875	0.4125	5.43276e+06
4.875	0.4175	7.17503e+06
4.875	0.4225	2.88256e+06
4.875	0.4275	4.24108e+06
4.875	0.4325	3.6868e+06
4.875	0.4375	4.76708e+06
4.875	0.4425	1.95882e+06
4.875	0.4475	1.92548e+06
4.875	0.4525	1.89901e+06
4.875	0.4575	2.50647e+06
4.875	0.4625	1.90076e+06
4.875	0.4675	1.46295e+06
4.875	0.4725	1.1312e+06
4.875	0.4775	449839
4.875	0.4825	406184
4.875	0.4875	762726
4.875	0.4925	758959
4.875	0.4975	149743
4.875	0.5025	6869.8
4.875	0.5075	40019.1
4.875	0.5125	13009.3
4.875	0.5175	5795.26
4.875	0.5275	22099.3
4.925	0.3475	595526
4.925	0.3525	6.15194e+06
4.925	0.3575	6.80024e+06
4.925	0.3625	5.88551e+06
4.925	0.3675	5.16458e+06
4.925	0.3725	6.19646e+06
4.925	0.3775	4.67366e+06
4.925	0.3825	3.38621e+06
4.925	0.3875	5.33093e+06
4.925	0.3925	2.46681e+06
4.925	0.3975	5.04853e+06
4.925	0.4025	4.95793e+06
4.925	0.4075	6.08909e+06
4.925	0.4125	2.79008e+06
4.925	0.4175	5.01176e+06
4.925	0.4225	2.85813e+06
4.925	0.4275	2.87062e+06
4.925	0.4325	2.32389e+06
4.925	0.4375	3.88093e+06
4.925	0.4425	4.74985e+06
4.925	0.4475	3.61132e+06
4.925	0.4525	2.38604e+06
4.925	0.4575	2.00719e+06
4.925	0.4625	2.58121e+06
4.925	0.4675	1.95899e+06
4.925	0.4725	900957
4.925	0.4775	729920
4.925	0.4825	682942
4.925	0.4875	997404
4.925	0.4925	948457
4.925	0.4975	762947
4.925	0.5025	93402.9
4.925	0.5075	124623
4.925	0.5125	31305.8
4.925	0.5175	107255
4.925	0.5225	13504.1
4.925	0.5275	56062
4.925	0.5325	34427.3
4.925	0.5375	18990.5
4.925	0.5425	7035.61
4.975	0.3525	1.16071e+06
4.975	0.3575	3.56689e+06
4.975	0.3625	4.27647e+06
4.975	0.3675	3.78771e+06
4.975	0.3725	4.01094e+06
4.975	0.3775	7.16986e+06
4.975	0.3825	4.89591e+06
4.975	0.3875	4.15284e+06
4.975	0.3925	7.64428e+06
4.975	0.3975	6.05625e+06
4.975	0.4025	5.22791e+06
4.975	0.4075	4.28948e+06
4.975	0.4125	4.90568e+06
4.975	0.4175	4.96044e+06
4.975	0.4225	2.95267e+06
4.975	0.4275	3.50655e+06
4.975	0.4325	5.03913e+06
4.975	0.4375	2.39423e+06
4.975	0.4425	4.71109e+06
4.975	0.4475	3.87073e+06
4.975	0.4525	2.62243e+06
4.975	0.4575	1.57657e+06
4.975	0.4625	1.94485e+06
4.975	0.4675	2.5439e+06
4.975	0.4725	2.28825e+06
4.975	0.4775	2.08584e+06
4.975	0.4825	783967
4.975	0.4875	629381
4.975	0.4925	1.32805e+06
4.975	0.4975	1.36982e+06
4.975	0.5025	334337
4.975	0.5075	629376
4.975	0.5125	282304
4.975	0.5175	11236.2
4.975	0.5225	31477.3
4.975	0.5275	37963.2
4.975	0.5325	26211.7
4.975	0.5375	37816
4.975	0.5425	63310.6
4.975	0.5475	12345.9
5.025	0.3575	2.44953e+06
5.025	0.3625	5.74441e+06
5.025	0.3675	3.87998e+06
5.025	0.3725	6.75076e+06
5.025	0.3775	7.20168e+06
5.025	0.3825	5.40825e+06
5.025	0.3875	4.35863e+06
5.025	0.3925	5.5972e+06
5.025	0.3975	3.58006e+06
5.025	0.4025	3.31847e+06
5.025	0.4075	5.31537e+06
5.025	0.4125	4.13002e+06
5.025	0.4175	3.92281e+06
5.025	0.4225	4.22874e+06
5.025	0.4275	5.70689e+06
5.025	0.4325	4.62655e+06
5.025	0.4375	6.41973e+06
5.025	0.4425	4.07788e+06
5.025	0.4475	3.14248e+06
5.025	0.4525	4.33246e+06
5.025	0.4575	3.76503e+06
5.025	0.4625	2.69749e+06
5.025	0.4675	839191
5.025	0.4725	2.38957e+06
5.025	0.4775	2.15069e+06
5.025	0.4825	2.58524e+06
5.025	0.4875	1.852e+06
5.025	0.4925	1.03138e+06
5.025	0.4975	989265
5.025	0.5025	863088
5.025	0.5075	910770
5.025	0.5125	467154
5.025	0.5175	401836
5.025	0.5225	651113
5.025	0.5275	134795
5.025	0.5325	53111.7
5.025	0.5375	12961
5.025	0.5425	31356.2
5.025	0.5475	43010.5
5.025	0.5525	23795.8
5.025	0.5575	24567.5
5.025	0.5675	5324.77
5.075	0.3575	247957
5.075	0.3625	2.59032e+06
5.075	0.3675	3.72585e+06
5.075	0.3725	4.25e+06
5.075	0.3775	4.52406e+06
5.075	0.3825	4.76985e+06
5.075	0.3875	4.76204e+06
5.075	0.3925	3.2579e+06
5.075	0.3975	5.43655e+06
5.075	0.4025	2.85315e+06
5.075	0.4075	3.92808e+06
5.075	0.4125	4.70985e+06
5.075	0.4175	3.03096e+06
5.075	0.4225	5.23668e+06
5.075	0.4275	2.76397e+06
5.075	0.4325	4.41686e+06
5.075	0.4375	4.85538e+06
5.075	0.4425	1.75326e+06
5.075	0.4475	4.70317e+06
5.075	0.4525	2.85294e+06
5.075	0.4575	3.69967e+06
5.075	0.4625	2.88006e+06
5.075	0.4675	3.23425e+06
5.075	0.4725	2.65857e+06
5.075	0.4775	1.79313e+06
5.075	0.4825	1.59514e+06
5.075	0.4875	1.172e+06
5.075	0.4925	1.51088e+06
5.075	0.4975	1.48709e+06
5.075	0.5025	1.01986e+06
5.075	0.5075	715832
5.075	0.5125	541387
5.075	0.5175	448806
5.075	0.5225	880913
5.075	0.5275	608697
5.075	0.5325	1.08181e+06
5.075	0.5375	123503
5.075	0.5425	11942.4
5.075	0.5475	65180.7
5.075	0.5525	23184.3
5.075	0.5575	40049
5.075	0.5625	16709.9
5.075	0.5675	5281.4
5.075	0.5725	5461.18
5.125	0.3625	1.06135e+06
5.125	0.3675	5.03872e+06
5.125	0.3725	5.90253e+06
5.125	0.3775	6.90338e+06
5.125	0.3825	5.5687e+06
5.125	0.3875	4.23366e+06
5.125	0.3925	4.72232e+06
5.125	0.3975	3.71315e+06
5.125	0.4025	6.6421e+06
5.125	0.4075	3.97526e+06
5.125	0.4125	5.04497e+06
5.125	0.4175	3.23522e+06
