Q2_center	xbj_center	Content
2.975	0.3775	27446.9
2.975	0.3825	26947
2.975	0.3875	5198.44
3.025	0.2775	3.02952e+06
3.025	0.2825	6.9674e+06
3.025	0.2875	6.76369e+06
3.025	0.2925	6.61621e+06
3.025	0.2975	6.48872e+06
3.025	0.3025	6.43935e+06
3.025	0.3075	6.47588e+06
3.025	0.3125	6.25516e+06
3.025	0.3175	5.42161e+06
3.025	0.3225	4.89828e+06
3.025	0.3275	4.45188e+06
3.025	0.3325	3.74853e+06
3.025	0.3375	3.10275e+06
3.025	0.3425	2.80968e+06
3.025	0.3475	2.27954e+06
3.025	0.3525	1.45361e+06
3.025	0.3575	1.23065e+06
3.025	0.3625	1.18987e+06
3.025	0.3675	717706
3.025	0.3725	301425
3.025	0.3775	39249.9
3.025	0.3825	31832.1
3.025	0.3875	48793.4
3.025	0.3925	66247.5
3.025	0.3975	27994.5
3.025	0.4025	3285.02
3.075	0.2825	3.36681e+06
3.075	0.2875	6.46533e+06
3.075	0.2925	6.20366e+06
3.075	0.2975	6.18263e+06
3.075	0.3025	6.06149e+06
3.075	0.3075	6.08674e+06
3.075	0.3125	6.03551e+06
3.075	0.3175	5.92268e+06
3.075	0.3225	5.41767e+06
3.075	0.3275	4.89415e+06
3.075	0.3325	4.3992e+06
3.075	0.3375	4.31365e+06
3.075	0.3425	3.50549e+06
3.075	0.3475	2.68715e+06
3.075	0.3525	2.72682e+06
3.075	0.3575	2.23497e+06
3.075	0.3625	1.54359e+06
3.075	0.3675	1.14512e+06
3.075	0.3725	1.02735e+06
3.075	0.3775	777418
3.075	0.3825	494709
3.075	0.3875	115810
3.075	0.3925	44909.8
3.075	0.3975	71863.5
3.075	0.4025	71124.9
3.075	0.4075	44811.1
3.075	0.4125	16847.7
3.075	0.4175	2925.49
3.125	0.2825	4358.17
3.125	0.2875	3.69555e+06
3.125	0.2925	6.15295e+06
3.125	0.2975	5.90692e+06
3.125	0.3025	5.87399e+06
3.125	0.3075	5.83082e+06
3.125	0.3125	5.67187e+06
3.125	0.3175	5.4495e+06
3.125	0.3225	5.39216e+06
3.125	0.3275	5.22278e+06
3.125	0.3325	4.83976e+06
